Start Time (s),End Time (s),Duration (s),Speaker
2676.44,2676.78,0.34,SPEAKER_01
2677.44,2678.87,1.43,SPEAKER_01
2680.05,2686.02,5.97,SPEAKER_01
2686.83,2691.93,5.1,SPEAKER_00
2693.45,2735.62,42.17,SPEAKER_00
2737.36,2776.47,39.11,SPEAKER_00
2776.04,2785.08,9.04,SPEAKER_01
2785.08,2801.15,16.07,SPEAKER_00
2801.94,2827.84,25.9,SPEAKER_00
2829.31,2834.39,5.08,SPEAKER_00
2834.98,2835.4,0.42,SPEAKER_00
2837.9,2872.31,34.41,SPEAKER_00
2874.0,2881.49,7.49,SPEAKER_00
2882.91,2885.66,2.75,SPEAKER_00
2886.43,2925.28,38.85,SPEAKER_00
2926.19,2938.93,12.74,SPEAKER_00
2940.09,2956.75,16.66,SPEAKER_00
2958.89,2961.88,2.99,SPEAKER_00
2963.87,2984.88,21.01,SPEAKER_00
2985.89,2989.27,3.38,SPEAKER_00
2989.96,2991.01,1.05,SPEAKER_00
2992.68,2996.59,3.91,SPEAKER_00
2997.35,3005.96,8.61,SPEAKER_00
3007.65,3055.91,48.26,SPEAKER_00
3056.52,3063.57,7.05,SPEAKER_00
3063.57,3066.74,3.17,SPEAKER_01
3067.6,3080.41,12.81,SPEAKER_01
3081.09,3083.65,2.56,SPEAKER_00
3084.71,3091.7,6.99,SPEAKER_00
3093.22,3100.68,7.46,SPEAKER_00
3101.89,3109.87,7.98,SPEAKER_00
3111.33,3115.02,3.69,SPEAKER_00
3116.15,3125.28,9.13,SPEAKER_00
3125.52,3138.93,13.41,SPEAKER_01
3137.03,3137.35,0.32,SPEAKER_00
3139.19,3167.59,28.4,SPEAKER_00
3168.62,3182.55,13.93,SPEAKER_00
3183.8,3188.14,4.34,SPEAKER_00
3188.88,3204.34,15.46,SPEAKER_00
3204.96,3221.23,16.27,SPEAKER_00
3222.89,3242.48,19.59,SPEAKER_00
3242.04,3265.82,23.78,SPEAKER_01
3265.82,3315.43,49.61,SPEAKER_00
3316.96,3323.26,6.3,SPEAKER_00
3323.04,3327.9,4.86,SPEAKER_01
3327.9,3329.67,1.77,SPEAKER_00
3329.69,3342.5,12.81,SPEAKER_01
3338.8,3338.87,0.07,SPEAKER_00
3342.46,3377.01,34.55,SPEAKER_00
3377.66,3379.06,1.4,SPEAKER_00
3378.52,3390.15,11.63,SPEAKER_01
3390.83,3420.48,29.65,SPEAKER_01
3406.54,3406.91,0.37,SPEAKER_00
3420.48,3422.8,2.32,SPEAKER_00
3423.78,3460.18,36.4,SPEAKER_00
3461.36,3462.12,0.76,SPEAKER_00
3463.96,3464.97,1.01,SPEAKER_00
3464.97,3472.59,7.62,SPEAKER_01
3473.61,3519.73,46.12,SPEAKER_00
3521.17,3601.39,80.22,SPEAKER_00
3602.0,3613.96,11.96,SPEAKER_00
3614.55,3622.44,7.89,SPEAKER_00
3623.8,3639.66,15.86,SPEAKER_00
3640.26,3682.61,42.35,SPEAKER_00
3683.29,3705.02,21.73,SPEAKER_00
3705.71,3726.71,21.0,SPEAKER_00
3728.07,3759.78,31.71,SPEAKER_00
3760.95,3844.17,83.22,SPEAKER_00
3846.47,3855.48,9.01,SPEAKER_00
3855.48,3862.53,7.05,SPEAKER_01
3863.01,3908.99,45.98,SPEAKER_00
3910.19,3925.86,15.67,SPEAKER_00
3927.05,3936.53,9.48,SPEAKER_00
3937.44,3988.96,51.52,SPEAKER_00
3990.75,3999.03,8.28,SPEAKER_00
4000.69,4002.16,1.47,SPEAKER_00
4004.64,4019.98,15.34,SPEAKER_00
4019.98,4032.3,12.32,SPEAKER_01
4034.02,4036.58,2.56,SPEAKER_01
4037.98,4070.38,32.4,SPEAKER_00
4071.01,4100.91,29.9,SPEAKER_00
4102.16,4126.04,23.88,SPEAKER_00
4126.93,4130.56,3.63,SPEAKER_00
4131.2,4146.84,15.64,SPEAKER_00
4148.16,4173.3,25.14,SPEAKER_00
4174.2,4186.79,12.59,SPEAKER_00
4187.43,4188.96,1.53,SPEAKER_00
4189.76,4192.74,2.98,SPEAKER_00
4193.37,4201.75,8.38,SPEAKER_00
4203.24,4213.79,10.55,SPEAKER_01
4214.9,4253.07,38.17,SPEAKER_00
4254.18,4257.26,3.08,SPEAKER_00
4258.74,4270.47,11.73,SPEAKER_00
4270.47,4282.87,12.4,SPEAKER_01
4282.87,4294.08,11.21,SPEAKER_00
4294.84,4346.85,52.01,SPEAKER_00
4348.45,4394.4,45.95,SPEAKER_00
4395.12,4396.91,1.79,SPEAKER_00
4397.76,4437.7,39.94,SPEAKER_00
4439.03,4439.93,0.9,SPEAKER_00
4440.96,4444.97,4.01,SPEAKER_00
4445.95,4467.05,21.1,SPEAKER_00
4468.31,4528.13,59.82,SPEAKER_01
4528.74,4534.53,5.79,SPEAKER_01
4534.53,4534.6,0.07,SPEAKER_00
4535.98,4538.04,2.06,SPEAKER_00
4538.75,4612.83,74.08,SPEAKER_00
4613.99,4617.62,3.63,SPEAKER_00
4618.23,4636.0,17.77,SPEAKER_00
4619.6,4620.07,0.47,SPEAKER_01
4620.73,4621.03,0.3,SPEAKER_01
4636.77,4662.29,25.52,SPEAKER_00
4663.18,4684.45,21.27,SPEAKER_00
4685.48,4693.8,8.32,SPEAKER_00
4694.47,4696.14,1.67,SPEAKER_00
4697.12,4709.64,12.52,SPEAKER_00
4710.62,4724.04,13.42,SPEAKER_00
4725.47,4752.91,27.44,SPEAKER_00
4754.04,4772.03,17.99,SPEAKER_00
4772.89,4782.02,9.13,SPEAKER_00
4782.91,4783.35,0.44,SPEAKER_00
4784.58,4804.95,20.37,SPEAKER_00
4805.98,4808.31,2.33,SPEAKER_00
4809.25,4828.19,18.94,SPEAKER_00
4828.95,4832.74,3.79,SPEAKER_00
4833.55,4856.08,22.53,SPEAKER_00
4857.31,4858.07,0.76,SPEAKER_00
4858.7,4859.56,0.86,SPEAKER_00
4860.52,4863.32,2.8,SPEAKER_00
4864.57,4871.22,6.65,SPEAKER_00
4872.97,4880.08,7.11,SPEAKER_01
4880.99,4882.88,1.89,SPEAKER_01
4884.6,4923.16,38.56,SPEAKER_01
4920.0,4920.27,0.27,SPEAKER_00
4923.16,4968.1,44.94,SPEAKER_00
4968.98,5001.33,32.35,SPEAKER_01
5001.97,5063.12,61.15,SPEAKER_01
5064.15,5069.97,5.82,SPEAKER_01
5069.97,5103.08,33.11,SPEAKER_00
5104.62,5108.48,3.86,SPEAKER_00
